id,date,channel,brand,commercial
8159913,2019-07-18 15:33:37-05:00,AZTECA UNO,Ciel,Promocion Ciel
8159829,2019-07-18 15:16:00-05:00,CANAL 2,Fanta,FANTA-KENSHO
8159803,2019-07-18 15:13:51-05:00,CANAL 2,Ciel,AGUA CIEL-CIELMINEREM
8159798,2019-07-18 15:13:31-05:00,AZTECA UNO,Coca-Cola,COCA COLA-FOODING FIL
8159791,2019-07-18 15:12:00-05:00,CANAL 2,Santa Clara,SANTA CLARA-SANTOS MOME
8159601,2019-07-18 14:39:07-05:00,CANAL 2,Coca-Cola,COCA COLA-QUESADILLA
8159414,2019-07-18 14:07:09-05:00,CANAL 2,Mundet,MUNDET-NUEVA LOCUC
8159346,2019-07-18 13:50:57-05:00,SONY HD,Coca-Cola,COCA COLA-FOODING FIL
8159225,2019-07-18 13:28:27-05:00,AZTECA UNO,Santa Clara,Santos Momentos
8159201,2019-07-18 13:25:44-05:00,CANAL 2,Coca-Cola,COCA COLA-QUESADILLA
8158820,2019-07-18 12:19:07-05:00,CANAL 2,Del Valle,NARANJA Y NA-MEJOR SABOR
8158756,2019-07-18 12:10:07-05:00,SONY HD,Sprite,Botella Azul Sprite Reciclada
8158597,2019-07-18 11:33:05-05:00,IMAGEN TV,Coca-Cola,COCA COLA-FOODING FIL
8158583,2019-07-18 11:29:33-05:00,CANAL 2,Sprite,Botella Azul Sprite Reciclada
8158573,2019-07-18 11:27:22-05:00,CANAL 2,Fanta,FANTA-KENSHO
8158517,2019-07-18 11:14:28-05:00,AZTECA UNO,Santa Clara,Santos Momentos
8158283,2019-07-18 10:27:57-05:00,CANAL 2,Santa Clara,SANTA CLARA-SANTOS MOME
8158281,2019-07-18 10:27:07-05:00,CANAL 2,Ciel,AGUA CIEL-CIELMINEREM
8158278,2019-07-18 10:24:37-05:00,CANAL 2,Coca-Cola,COCA COLA-FOODING FIL
8158122,2019-07-18 09:58:06-05:00,CANAL 2,Sprite,7UP-SUNSET VIDR
8158022,2019-07-18 09:33:55-05:00,CANAL 2,Mundet,MUNDET-NUEVA LOCUC
8157999,2019-07-18 09:30:16-05:00,CANAL 2,Ciel,Promocion Ciel
8157885,2019-07-18 08:54:28-05:00,CANAL 2,Fanta,FANTA-KENSHO
8157842,2019-07-18 08:39:31-05:00,CANAL 2,Ciel,AGUA CIEL-CIELMINEREM
8157785,2019-07-18 08:18:14-05:00,CANAL 2,Sprite,Botella Azul Sprite Reciclada
8157761,2019-07-18 08:12:25-05:00,AZTECA UNO,Ciel,Promocion Ciel
8157542,2019-07-18 06:58:56-05:00,CANAL 2,Santa Clara,SANTA CLARA-SANTOS MOME
8157541,2019-07-18 06:58:37-05:00,CANAL 2,Mundet,Acompañando La Comida Mexicana
8157539,2019-07-18 06:58:22-05:00,AZTECA UNO,Santa Clara,Santos Momentos
8157536,2019-07-18 06:57:37-05:00,CANAL 2,Ciel,Promocion Ciel
8157531,2019-07-18 06:56:11-05:00,CANAL 2,Fanta,FANTA-KENSHO
8157492,2019-07-18 06:43:09-05:00,AZTECA UNO,Ciel,Promocion Ciel
